"";"internacao";"amq";"consulta";"domiciliar";"emergencia";"honorario";"material";"medicamento";"nulo";"pacote";"remocao";"sadt";"taxa"
"146";"s";"20120201";NA;4;NA;NA;81;66;NA;1;NA;NA;NA
"147";"s";"20120202";NA;NA;NA;NA;3;6;NA;NA;NA;NA;NA
"148";"s";"20120301";NA;27;NA;2;696;866;NA;3;NA;NA;8
"149";"s";"20120302";NA;48;NA;2;3474;12133;NA;NA;NA;NA;17
"150";"s";"20120401";NA;31;NA;NA;2145;1577;NA;NA;NA;NA;NA
"151";"s";"20120402";NA;16;NA;6;768;1858;NA;NA;NA;NA;6
"152";"s";"20120501";NA;17;NA;6;2542;1761;NA;2;NA;NA;4
"153";"s";"20120502";NA;47;NA;2;2976;2424;NA;NA;NA;NA;2
"154";"s";"20120601";NA;43;NA;2;3531;516;NA;NA;NA;16;5
"155";"s";"20120602";NA;NA;NA;3;719;363;NA;2;NA;NA;NA
"156";"s";"20120701";NA;7;NA;2;5;NA;NA;1;NA;NA;NA
"157";"s";"20120702";NA;12;NA;7;132;202;NA;NA;NA;NA;NA
"158";"s";"20120801";NA;NA;NA;4;161;NA;NA;1;NA;NA;NA
"159";"s";"20120802";NA;15;NA;3;3411;2;NA;6;NA;NA;2
"160";"s";"20120901";NA;NA;NA;1;6;12;NA;2;NA;NA;2
"161";"s";"20120902";NA;NA;NA;3;116;NA;NA;3;NA;1;NA
"162";"s";"20121001";NA;NA;NA;6;143;1358;NA;2;NA;13;21
"163";"s";"20121002";NA;9;NA;6;176;158;NA;3;NA;NA;5
"164";"s";"20121101";NA;78;NA;5;5904;1842;NA;1;NA;NA;NA
"165";"s";"20121102";NA;68;NA;9;1231;98;NA;8;NA;11;5
"166";"s";"20121201";NA;19;NA;68;276;656;NA;1;NA;223;420
"167";"s";"20121202";NA;9;NA;29;502;387;NA;NA;NA;258;49
"168";"s";"20130101";NA;NA;NA;47;481;2365;NA;11;NA;178;71
"169";"s";"20130102";NA;12;NA;117;277;1328;NA;22;NA;492;125
"170";"s";"20130201";NA;NA;NA;163;215;515;NA;8;NA;478;222
"171";"s";"20130202";NA;10;NA;170;1406;3206;NA;37;NA;616;407
"172";"s";"20130301";NA;127;NA;132;17085;5326;NA;12;NA;489;171
"173";"s";"20130302";NA;66;NA;79;6291;2168;NA;9;NA;244;139
"174";"s";"20130401";NA;8;NA;76;1987;1080;NA;5;NA;160;232
"175";"s";"20130402";NA;NA;NA;84;588;2707;NA;8;NA;149;160
"176";"s";"20130501";NA;5;NA;153;1114;3275;NA;8;NA;347;296
"177";"s";"20130502";NA;9;NA;51;227;570;NA;12;NA;177;85
"178";"s";"20130601";NA;17;NA;118;1017;2743;NA;14;NA;185;196
"179";"s";"20130602";NA;30;NA;73;1037;3190;NA;9;NA;109;150
"180";"s";"20130701";NA;445;NA;18;22729;4150;NA;18;NA;NA;73
"181";"s";"20130702";NA;60;NA;26;5579;3342;NA;8;NA;175;36
"182";"s";"20130801";NA;8;NA;70;496;1648;NA;21;NA;253;95
"183";"s";"20130802";NA;NA;NA;115;624;1672;NA;71;NA;300;130
"184";"s";"20130901";NA;NA;NA;112;874;4771;NA;115;NA;288;152
"185";"s";"20130902";NA;3;NA;249;3295;8630;NA;151;NA;825;354
"186";"s";"20131001";NA;15;NA;612;4603;6042;NA;236;NA;1473;998
"187";"s";"20131002";NA;16;NA;1161;6851;17587;NA;606;NA;2831;1501
"188";"s";"20131101";NA;102;NA;1573;8963;25250;NA;539;2;4761;3798
"189";"s";"20131102";NA;142;NA;2826;20324;55292;NA;965;NA;8021;6729
"190";"s";"20131201";NA;2368;NA;9004;51117;129147;1;2033;13;21897;22660
"191";"s";"20131202";NA;2127;NA;18789;159083;333705;NA;2814;2;57316;40782
"192";"s";"20140101";NA;3195;NA;20838;176369;358750;NA;4773;6;55814;42026
"193";"s";"20140102";NA;2905;NA;23477;196991;369542;NA;6973;13;60492;47172
"194";"s";"20140201";NA;3366;NA;22659;164092;399913;1;5986;10;61877;47222
"195";"s";"20140202";NA;2046;NA;19481;154004;315709;NA;4770;19;52645;41864
"196";"s";"20140301";NA;3530;NA;20837;174785;377872;NA;4402;6;57869;43357
"197";"s";"20140302";NA;2515;NA;24431;200136;358817;1;7576;6;66016;47813
